TODOS LOS VALORES ESTÁN EXPRESADOS EN MILLONES DE EUROS (€).;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Año;Arsenal;Chelsea;Everton;Liverpool;Manchester United;Tottenham Hotspur;Manchester City;Newcastle United;Aston Villa;West Ham United;Fulham;Southampton;Leicester City;Crystal Palace;Sunderland;West Bromwich Albion;Wolverhampton Wanderers;Blackburn Rovers;Bolton Wanderers;Middlesbrough;Stoke City
2005;171,3;220,8;88,8;181,2;246,4;104,5;90,1;128,9;84,4;;;;;;;;;;78,6;77;
2006;192,4;221;;176;242,6;107,2;89,4;124,3;;86,9;;;;;;;;;;;
2007;263,9;283;76,4;198,9;315,2;153,1;84,6;129,4;;85,1;;;;;;;;;;;
2008;264,4;268,9;95,6;210,9;324,8;145;104;126,6;78,3;103;;;;;;;;;;;
2009;263;242,3;;237;327;132,7;101,2;101;95,5;;;;;;;;;;;;
2010;274,1;255,9;96,6;225,3;349,8;146,3;152,8;;;87,6;94,2;;;;;;;;;;
2011;251,1;249,8;90,8;203,3;367;181;169,6;98;109,4;89,1;88,8;;;;87,9;68;73,8;66,9;78,4;;77,2
2012;290,3;322,6;99,5;233,2;395,9;178,2;285,6;115,3;99,3;58;98;28,4;;;96,4;82,7;;66,6;80,2;;87,6
2013;284,3;303,4;;240,6;423,8;172;316,2;111,9;98,6;104,8;86;84,8;;;89,5;82,4;;31,4;33,6;16,7;78,9
2014;359,3;387,9;144,1;305,9;518;215,8;414,4;155,1;;137,4;;126,9;38,5;111,7;124,8;108;;;;;117,6
2015;435,5;420;165,1;391,8;519,5;257,5;463,5;169,3;133;160,9;;149,5;137,2;130,8;132,9;126,6;;;;;130,9
2016;468,5;447,4;162,5;403,8;689;279,7;524,9;168,2;148,8;192,3;;163,3;172,1;124,8;144,4;119,9;;;;;127,2
2017;487,6;428;199,2;427,2;676,3;355,6;527,7;;;213,3;;212,1;271,1;164;143,8;160,5;;;;138,1;158,3
2018;439,2;505,7;212,9;513,7;666;428,3;568,4;201,5;;197,9;;172;179,4;169;;;;;;;
2019;445,6;513,1;213;604,7;711,5;521,1;610,6;;;216,4;;;200;174,5;;;195,5;;;;
2020;388;469,7;212;558,6;580,4;445,7;549,2;;;158;;;171;161,3;;;151,2;;;;
2021;366,5;493,1;218,1;550,4;558;406,2;644,9;170,1;207,3;221,5;;177,5;255,5;;;;219,2;;;;
2022;433,5;568,3;213,7;701,7;688,6;523;731;212,3;210,9;301,2;;177,7;252,2;188,9;;;195,4;;;;
2023;532,6;589,4;198;682,9;745,8;631,5;825,9;287,8;250,5;275,1;209,8;;;206,5;;;;;;;
2024;716,5;545,5;217,6;714,7;770,6;615;837,8;371,8;310,2;322,2;212,2;;;218,9;;;206,9;;;;
2025;821,7;584,1;234;836,1;793,1;672,6;829,3;398,4;450,2;276;227,6;;218,3;232,5;;;206,3;28;;;
