Fecha;Temporada;Club de origen;Club Comprador;Valor pagado;Valor Estimado;Déficit;Jugador
12-08-2026;26/27;Kairat Almaty;Chelsea;$2,400,000.00;$3,000,000.00;-20;Dastan Satpaev
01-07-2026;26/27;Girona;Wolves;$7,500,000.00;$22,000,000.00;-65,91;Ladislav Krejci
01-07-2026;26/27;Bayern Munich;Southampton;$8,000,000.00;$4,000,000.00;100;Daniel Peretz
01-07-2026;26/27;Freiburg;Everton;$25,000,000.00;$16,000,000.00;56,25;Merlin Röhl
01-07-2026;26/27;Leverkusen;Arsenal;$52,000,000.00;$50,000,000.00;4;Piero Hincapié
01-07-2026;26/27;Go Ahead Eagles;Stoke City;$5,500,000.00;$2,000,000.00;175;Milan Smit
01-07-2026;26/27;Stade Rennais;Liverpool;$63,600,000.00;$55,000,000.00;15,64;Jérémy Jacquet
01-07-2026;26/27;Sporting;Chelsea;$50,700,000.00;$42,000,000.00;20,71;Geovany Quenda
01-07-2026;26/27;LASK;Aston Villa;$5,500,000.00;$6,000,000.00;-8,33;Modou Kéba Cissé
02-02-2026;25/26;Southampton;Wolves;$8,100,000.00;$9,000,000.00;-10;Adam Armstrong
02-02-2026;25/26;Wolves;Crystal Palace;$49,700,000.00;$40,000,000.00;24,25;Jørgen Strand Larsen
02-02-2026;25/26;RSC Anderlecht;Sunderland;$17,340,000.00;$7,000,000.00;147,71;Nilson Angulo
01-02-2026;25/26;Malmö;Sunderland;$3,450,000.00;$500,000.00;590;Melker Ellborg
30-01-2026;25/26;Man City;Fulham;$31,200,000.00;$25,000,000.00;24,8;Oscar Bobb
28-01-2026;25/26;Fulham;West Ham;$2,300,000.00;$8,000,000.00;-71,25;Adama Traoré
27-01-2026;25/26;Besiktas;Aston Villa;$21,000,000.00;$14,000,000.00;50;Tammy Abraham
19-01-2026;25/26;Crystal Palace;Man City;$23,000,000.00;$55,000,000.00;-58,18;Marc Guéhi
16-01-2026;25/26;Maccabi Netanya;Sunderland;$4,000,000.00;$375,000.00;966,67;Jocelin Ta Bi
15-01-2026;25/26;Bodø/Glimt;Blackburn;$4,000,000.00;$2,500,000.00;60;Mathias Jørgensen
09-01-2026;25/26;Bournemouth;Man City;$72,000,000.00;$65,000,000.00;10,77;Antoine Semenyo
05-01-2026;25/26;Lazio;West Ham;$29,000,000.00;$25,000,000.00;16;Taty Castellanos
02-01-2026;25/26;Tottenham;Crystal Palace;$40,000,000.00;$35,000,000.00;14,29;Brennan Johnson
02-01-2026;25/26;Gil Vicente;West Ham;$23,000,000.00;$5,000,000.00;360;Pablo
