fecha,periodo,tasa_inflacion
2005-01-31,2005-01,1.9
2005-02-28,2005-02,2.1
2005-03-31,2005-03,2.2
2005-04-30,2005-04,2.1
2005-05-31,2005-05,2.0
2005-06-30,2005-06,2.0
2005-07-31,2005-07,2.1
2005-08-31,2005-08,2.2
2005-09-30,2005-09,2.6
2005-10-31,2005-10,2.4
2005-11-30,2005-11,2.3
2005-12-31,2005-12,2.2
2006-01-31,2006-01,2.4
2006-02-28,2006-02,2.4
2006-03-31,2006-03,2.2
2006-04-30,2006-04,2.4
2006-05-31,2006-05,2.5
2006-06-30,2006-06,2.5
2006-07-31,2006-07,2.4
2006-08-31,2006-08,2.3
2006-09-30,2006-09,1.8
2006-10-31,2006-10,1.6
2006-11-30,2006-11,1.9
2006-12-31,2006-12,1.9
2007-01-31,2007-01,1.8
2007-02-28,2007-02,1.9
2007-03-31,2007-03,1.9
2007-04-30,2007-04,1.9
2007-05-31,2007-05,1.9
2007-06-30,2007-06,1.9
2007-07-31,2007-07,1.8
2007-08-31,2007-08,1.7
2007-09-30,2007-09,2.1
2007-10-31,2007-10,2.5
2007-11-30,2007-11,3.0
2007-12-31,2007-12,3.1
2008-01-31,2008-01,3.2
2008-02-29,2008-02,3.3
2008-03-31,2008-03,3.6
2008-04-30,2008-04,3.3
2008-05-31,2008-05,3.7
2008-06-30,2008-06,4.0
2008-07-31,2008-07,4.1
2008-08-31,2008-08,3.8
2008-09-30,2008-09,3.7
2008-10-31,2008-10,3.2
2008-11-30,2008-11,2.1
2008-12-31,2008-12,1.6
2009-01-31,2009-01,1.1
2009-02-28,2009-02,1.2
2009-03-31,2009-03,0.6
2009-04-30,2009-04,0.6
2009-05-31,2009-05,0.0
2009-06-30,2009-06,-0.1
2009-07-31,2009-07,-0.7
2009-08-31,2009-08,-0.2
2009-09-30,2009-09,-0.3
2009-10-31,2009-10,-0.1
2009-11-30,2009-11,0.5
2009-12-31,2009-12,0.9
2010-01-31,2010-01,1.0
2010-02-28,2010-02,0.8
2010-03-31,2010-03,1.6
2010-04-30,2010-04,1.6
2010-05-31,2010-05,1.7
2010-06-30,2010-06,1.5
2010-07-31,2010-07,1.7
2010-08-31,2010-08,1.6
2010-09-30,2010-09,1.9
2010-10-31,2010-10,1.9
2010-11-30,2010-11,1.9
2010-12-31,2010-12,2.2
2011-01-31,2011-01,2.3
2011-02-28,2011-02,2.4
2011-03-31,2011-03,2.7
2011-04-30,2011-04,2.8
2011-05-31,2011-05,2.7
2011-06-30,2011-06,2.7
2011-07-31,2011-07,2.5
2011-08-31,2011-08,2.5
2011-09-30,2011-09,3.0
2011-10-31,2011-10,3.0
2011-11-30,2011-11,3.0
2011-12-31,2011-12,2.8
2012-01-31,2012-01,2.7
2012-02-29,2012-02,2.7
2012-03-31,2012-03,2.7
2012-04-30,2012-04,2.6
2012-05-31,2012-05,2.4
2012-06-30,2012-06,2.4
2012-07-31,2012-07,2.4
2012-08-31,2012-08,2.6
2012-09-30,2012-09,2.6
2012-10-31,2012-10,2.5
2012-11-30,2012-11,2.2
2012-12-31,2012-12,2.2
2013-01-31,2013-01,2.0
2013-02-28,2013-02,1.9
2013-03-31,2013-03,1.7
2013-04-30,2013-04,1.2
2013-05-31,2013-05,1.4
2013-06-30,2013-06,1.6
2013-07-31,2013-07,1.6
2013-08-31,2013-08,1.3
2013-09-30,2013-09,1.1
2013-10-31,2013-10,0.7
2013-11-30,2013-11,0.9
2013-12-31,2013-12,0.8
2014-01-31,2014-01,0.8
2014-02-28,2014-02,0.7
2014-03-31,2014-03,0.5
2014-04-30,2014-04,0.7
2014-05-31,2014-05,0.5
2014-06-30,2014-06,0.5
2014-07-31,2014-07,0.4
2014-08-31,2014-08,0.4
2014-09-30,2014-09,0.3
2014-10-31,2014-10,0.4
2014-11-30,2014-11,0.3
2014-12-31,2014-12,-0.2
2015-01-31,2015-01,-0.6
2015-02-28,2015-02,-0.3
2015-03-31,2015-03,-0.1
2015-04-30,2015-04,0.2
2015-05-31,2015-05,0.6
2015-06-30,2015-06,0.5
2015-07-31,2015-07,0.6
2015-08-31,2015-08,0.4
2015-09-30,2015-09,0.2
2015-10-31,2015-10,0.4
2015-11-30,2015-11,0.1
2015-12-31,2015-12,0.2
2016-01-31,2016-01,0.3
2016-02-29,2016-02,-0.1
2016-03-31,2016-03,0.0
2016-04-30,2016-04,-0.3
2016-05-31,2016-05,-0.1
2016-06-30,2016-06,0.1
2016-07-31,2016-07,0.2
2016-08-31,2016-08,0.2
2016-09-30,2016-09,0.4
2016-10-31,2016-10,0.5
2016-11-30,2016-11,0.6
2016-12-31,2016-12,1.1
2017-01-31,2017-01,1.7
2017-02-28,2017-02,2.0
2017-03-31,2017-03,1.5
2017-04-30,2017-04,1.9
2017-05-31,2017-05,1.4
2017-06-30,2017-06,1.3
2017-07-31,2017-07,1.3
2017-08-31,2017-08,1.5
2017-09-30,2017-09,1.6
2017-10-31,2017-10,1.4
2017-11-30,2017-11,1.5
2017-12-31,2017-12,1.3
2018-01-31,2018-01,1.3
2018-02-28,2018-02,1.1
2018-03-31,2018-03,1.4
2018-04-30,2018-04,1.2
2018-05-31,2018-05,2.0
2018-06-30,2018-06,2.0
2018-07-31,2018-07,2.2
2018-08-31,2018-08,2.1
2018-09-30,2018-09,2.1
2018-10-31,2018-10,2.3
2018-11-30,2018-11,1.9
2018-12-31,2018-12,1.5
2019-01-31,2019-01,1.4
2019-02-28,2019-02,1.5
2019-03-31,2019-03,1.4
2019-04-30,2019-04,1.7
2019-05-31,2019-05,1.2
2019-06-30,2019-06,1.3
2019-07-31,2019-07,1.0
2019-08-31,2019-08,1.0
2019-09-30,2019-09,0.8
2019-10-31,2019-10,0.7
2019-11-30,2019-11,1.0
2019-12-31,2019-12,1.3
2020-01-31,2020-01,1.4
2020-02-29,2020-02,1.2
2020-03-31,2020-03,0.7
2020-04-30,2020-04,0.3
2020-05-31,2020-05,0.1
2020-06-30,2020-06,0.3
2020-07-31,2020-07,0.4
2020-08-31,2020-08,-0.2
2020-09-30,2020-09,-0.3
2020-10-31,2020-10,-0.3
2020-11-30,2020-11,-0.3
2020-12-31,2020-12,-0.3
2021-01-31,2021-01,0.9
2021-02-28,2021-02,0.9
2021-03-31,2021-03,1.3
2021-04-30,2021-04,1.6
2021-05-31,2021-05,2.0
2021-06-30,2021-06,1.9
2021-07-31,2021-07,2.2
2021-08-31,2021-08,3.0
2021-09-30,2021-09,3.4
2021-10-31,2021-10,4.1
2021-11-30,2021-11,4.9
2021-12-31,2021-12,5.0
2022-01-31,2022-01,5.1
2022-02-28,2022-02,5.9
2022-03-31,2022-03,7.4
2022-04-30,2022-04,7.5
2022-05-31,2022-05,8.1
2022-06-30,2022-06,8.6
2022-07-31,2022-07,8.9
2022-08-31,2022-08,9.1
2022-09-30,2022-09,9.9
2022-10-31,2022-10,10.6
2022-11-30,2022-11,10.1
2022-12-31,2022-12,9.2
2023-01-31,2023-01,8.6
2023-02-28,2023-02,8.5
2023-03-31,2023-03,6.9
2023-04-30,2023-04,6.9
2023-05-31,2023-05,6.1
2023-06-30,2023-06,5.5
2023-07-31,2023-07,5.3
2023-08-31,2023-08,5.2
2023-09-30,2023-09,4.3
2023-10-31,2023-10,2.9
2023-11-30,2023-11,2.4
2023-12-31,2023-12,2.9
2024-01-31,2024-01,2.8
2024-02-29,2024-02,2.6
2024-03-31,2024-03,2.4
2024-04-30,2024-04,2.4
2024-05-31,2024-05,2.6
2024-06-30,2024-06,2.5
2024-07-31,2024-07,2.6
2024-08-31,2024-08,2.2
2024-09-30,2024-09,1.7
2024-10-31,2024-10,2.0
2024-11-30,2024-11,2.2
2024-12-31,2024-12,2.4
2025-01-31,2025-01,2.5
2025-02-28,2025-02,2.3
2025-03-31,2025-03,2.2
2025-04-30,2025-04,2.2
2025-05-31,2025-05,1.9
2025-06-30,2025-06,2.0
2025-07-31,2025-07,2.0
2025-08-31,2025-08,2.0
2025-09-30,2025-09,2.2
2025-10-31,2025-10,2.1
2025-11-30,2025-11,2.1
2025-12-31,2025-12,2.0
2026-01-31,2026-01,1.7
2026-02-28,2026-02,1.9
2026-03-31,2026-03,2.6
2026-04-30,2026-04,3.0
2026-05-31,2026-05,3.2
2026-06-30,2026-06,2.8
