DATE,TIME_PERIOD,HICP_Inflation_rate
31-01-05,2005Jan,1.9
28-02-05,2005Feb,2.1
31-03-05,2005Mar,2.2
30-04-05,2005Apr,2.1
31-05-05,2005May,2.0
30-06-05,2005Jun,2.0
31-07-05,2005Jul,2.1
31-08-05,2005Aug,2.2
30-09-05,2005Sep,2.6
31-10-05,2005Oct,2.4
30-11-05,2005Nov,2.3
31-12-05,2005Dec,2.2
31-01-06,2006Jan,2.4
28-02-06,2006Feb,2.4
31-03-06,2006Mar,2.2
30-04-06,2006Apr,2.4
31-05-06,2006May,2.5
30-06-06,2006Jun,2.5
31-07-06,2006Jul,2.4
31-08-06,2006Aug,2.3
30-09-06,2006Sep,1.8
31-10-06,2006Oct,1.6
30-11-06,2006Nov,1.9
31-12-06,2006Dec,1.9
31-01-07,2007Jan,1.8
28-02-07,2007Feb,1.9
31-03-07,2007Mar,1.9
30-04-07,2007Apr,1.9
31-05-07,2007May,1.9
30-06-07,2007Jun,1.9
31-07-07,2007Jul,1.8
31-08-07,2007Aug,1.7
30-09-07,2007Sep,2.1
31-10-07,2007Oct,2.5
30-11-07,2007Nov,3.0
31-12-07,2007Dec,3.1
31-01-08,2008Jan,3.2
29-02-08,2008Feb,3.3
31-03-08,2008Mar,3.6
30-04-08,2008Apr,3.3
31-05-08,2008May,3.7
30-06-08,2008Jun,4.0
31-07-08,2008Jul,4.1
31-08-08,2008Aug,3.8
30-09-08,2008Sep,3.7
31-10-08,2008Oct,3.2
30-11-08,2008Nov,2.1
31-12-08,2008Dec,1.6
31-01-09,2009Jan,1.1
28-02-09,2009Feb,1.2
31-03-09,2009Mar,0.6
30-04-09,2009Apr,0.6
31-05-09,2009May,0.0
30-06-09,2009Jun,-0.1
31-07-09,2009Jul,-0.7
31-08-09,2009Aug,-0.2
30-09-09,2009Sep,-0.3
31-10-09,2009Oct,-0.1
30-11-09,2009Nov,0.5
31-12-09,2009Dec,0.9
31-01-10,2010Jan,1.0
28-02-10,2010Feb,0.8
31-03-10,2010Mar,1.6
30-04-10,2010Apr,1.6
31-05-10,2010May,1.7
30-06-10,2010Jun,1.5
31-07-10,2010Jul,1.7
31-08-10,2010Aug,1.6
30-09-10,2010Sep,1.9
31-10-10,2010Oct,1.9
30-11-10,2010Nov,1.9
31-12-10,2010Dec,2.2
31-01-11,2011Jan,2.3
28-02-11,2011Feb,2.4
31-03-11,2011Mar,2.7
30-04-11,2011Apr,2.8
31-05-11,2011May,2.7
30-06-11,2011Jun,2.7
31-07-11,2011Jul,2.5
31-08-11,2011Aug,2.5
30-09-11,2011Sep,3.0
31-10-11,2011Oct,3.0
30-11-11,2011Nov,3.0
31-12-11,2011Dec,2.8
31-01-12,2012Jan,2.7
29-02-12,2012Feb,2.7
31-03-12,2012Mar,2.7
30-04-12,2012Apr,2.6
31-05-12,2012May,2.4
30-06-12,2012Jun,2.4
31-07-12,2012Jul,2.4
31-08-12,2012Aug,2.6
30-09-12,2012Sep,2.6
31-10-12,2012Oct,2.5
30-11-12,2012Nov,2.2
31-12-12,2012Dec,2.2
31-01-13,2013Jan,2.0
28-02-13,2013Feb,1.9
31-03-13,2013Mar,1.7
30-04-13,2013Apr,1.2
31-05-13,2013May,1.4
30-06-13,2013Jun,1.6
31-07-13,2013Jul,1.6
31-08-13,2013Aug,1.3
30-09-13,2013Sep,1.1
31-10-13,2013Oct,0.7
30-11-13,2013Nov,0.9
31-12-13,2013Dec,0.8
31-01-14,2014Jan,0.8
28-02-14,2014Feb,0.7
31-03-14,2014Mar,0.5
30-04-14,2014Apr,0.7
31-05-14,2014May,0.5
30-06-14,2014Jun,0.5
31-07-14,2014Jul,0.4
31-08-14,2014Aug,0.4
30-09-14,2014Sep,0.3
31-10-14,2014Oct,0.4
30-11-14,2014Nov,0.3
31-12-14,2014Dec,-0.2
31-01-15,2015Jan,-0.6
28-02-15,2015Feb,-0.3
31-03-15,2015Mar,-0.1
30-04-15,2015Apr,0.2
31-05-15,2015May,0.6
30-06-15,2015Jun,0.5
31-07-15,2015Jul,0.6
31-08-15,2015Aug,0.4
30-09-15,2015Sep,0.2
31-10-15,2015Oct,0.4
30-11-15,2015Nov,0.1
31-12-15,2015Dec,0.2
31-01-16,2016Jan,0.3
29-02-16,2016Feb,-0.1
31-03-16,2016Mar,0.0
30-04-16,2016Apr,-0.3
31-05-16,2016May,-0.1
30-06-16,2016Jun,0.1
31-07-16,2016Jul,0.2
31-08-16,2016Aug,0.2
30-09-16,2016Sep,0.4
31-10-16,2016Oct,0.5
30-11-16,2016Nov,0.6
31-12-16,2016Dec,1.1
31-01-17,2017Jan,1.7
28-02-17,2017Feb,2.0
31-03-17,2017Mar,1.5
30-04-17,2017Apr,1.9
31-05-17,2017May,1.4
30-06-17,2017Jun,1.3
31-07-17,2017Jul,1.3
31-08-17,2017Aug,1.5
30-09-17,2017Sep,1.6
31-10-17,2017Oct,1.4
30-11-17,2017Nov,1.5
31-12-17,2017Dec,1.3
31-01-18,2018Jan,1.3
28-02-18,2018Feb,1.1
31-03-18,2018Mar,1.4
30-04-18,2018Apr,1.2
31-05-18,2018May,2.0
30-06-18,2018Jun,2.0
31-07-18,2018Jul,2.2
31-08-18,2018Aug,2.1
30-09-18,2018Sep,2.1
31-10-18,2018Oct,2.3
30-11-18,2018Nov,1.9
31-12-18,2018Dec,1.5
31-01-19,2019Jan,1.4
28-02-19,2019Feb,1.5
31-03-19,2019Mar,1.4
30-04-19,2019Apr,1.7
31-05-19,2019May,1.2
30-06-19,2019Jun,1.3
31-07-19,2019Jul,1.0
31-08-19,2019Aug,1.0
30-09-19,2019Sep,0.8
31-10-19,2019Oct,0.7
30-11-19,2019Nov,1.0
31-12-19,2019Dec,1.3
31-01-20,2020Jan,1.4
29-02-20,2020Feb,1.2
31-03-20,2020Mar,0.7
30-04-20,2020Apr,0.3
31-05-20,2020May,0.1
30-06-20,2020Jun,0.3
31-07-20,2020Jul,0.4
31-08-20,2020Aug,-0.2
30-09-20,2020Sep,-0.3
31-10-20,2020Oct,-0.3
30-11-20,2020Nov,-0.3
31-12-20,2020Dec,-0.3
31-01-21,2021Jan,0.9
28-02-21,2021Feb,0.9
31-03-21,2021Mar,1.3
30-04-21,2021Apr,1.6
31-05-21,2021May,2.0
30-06-21,2021Jun,1.9
31-07-21,2021Jul,2.2
31-08-21,2021Aug,3.0
30-09-21,2021Sep,3.4
31-10-21,2021Oct,4.1
30-11-21,2021Nov,4.9
31-12-21,2021Dec,5.0
31-01-22,2022Jan,5.1
28-02-22,2022Feb,5.9
31-03-22,2022Mar,7.4
30-04-22,2022Apr,7.5
31-05-22,2022May,8.1
30-06-22,2022Jun,8.6
31-07-22,2022Jul,8.9
31-08-22,2022Aug,9.1
30-09-22,2022Sep,9.9
31-10-22,2022Oct,10.6
30-11-22,2022Nov,10.1
31-12-22,2022Dec,9.2
31-01-23,2023Jan,8.6
28-02-23,2023Feb,8.5
31-03-23,2023Mar,6.9
30-04-23,2023Apr,6.9
31-05-23,2023May,6.1
30-06-23,2023Jun,5.5
31-07-23,2023Jul,5.3
31-08-23,2023Aug,5.2
30-09-23,2023Sep,4.3
31-10-23,2023Oct,2.9
30-11-23,2023Nov,2.4
31-12-23,2023Dec,2.9
31-01-24,2024Jan,2.8
29-02-24,2024Feb,2.6
31-03-24,2024Mar,2.4
30-04-24,2024Apr,2.4
31-05-24,2024May,2.6
30-06-24,2024Jun,2.5
31-07-24,2024Jul,2.6
31-08-24,2024Aug,2.2
30-09-24,2024Sep,1.7
31-10-24,2024Oct,2.0
30-11-24,2024Nov,2.2
31-12-24,2024Dec,2.4
31-01-25,2025Jan,2.5
28-02-25,2025Feb,2.3
31-03-25,2025Mar,2.2
30-04-25,2025Apr,2.2
31-05-25,2025May,1.9
30-06-25,2025Jun,2.0
31-07-25,2025Jul,2.0
31-08-25,2025Aug,2.0
30-09-25,2025Sep,2.2
31-10-25,2025Oct,2.1
30-11-25,2025Nov,2.1
31-12-25,2025Dec,2.0
31-01-26,2026Jan,1.7
28-02-26,2026Feb,1.9
31-03-26,2026Mar,2.6
30-04-26,2026Apr,3.0
31-05-26,2026May,3.2
30-06-26,2026Jun,2.8
