Año;Manchester United;Chelsea;Arsenal;Liverpool;Manchester City;Tottenham;Newcastle;Everton;West Ham;Aston Villa
2005;246,4;220,8;171,3;181,2;90,1;104,5;128,9;88,8;—;—
2006;242,6;221;192,4;176;89,4;107,2;124,3;—;86,9;—
2007;315,2;283;263,9;206,5;—;153,1;129,4;—;—;—
2008;324,8;268,9;264,4;207,4;104;145;125,6;—;—;—
2009;327;242,3;263;217;102,2;132,7;101;93,5;89,3;98,9
2010;349,8;255,9;274,1;225,3;152,8;146,3;—;96,6;87,6;109,4
2011;367;253,1;251,1;203,3;169,6;181;—;90,8;89,1;99,3
2012;395,9;322,6;290,3;233,2;285,6;178,2;115,3;—;104,8;—
2013;423,8;303,4;284,3;240,6;316,2;172;155,1;144,1;—;—
2014;518;387,9;359,3;305,9;416,5;215,5;155,1;144,1;137,4;133
2015;519,5;420;435,5;391,8;463,5;257,5;169,3;165,1;160,9;—
2016;689;447,4;468,5;403,8;524,9;279,7;168,2;162,5;192,3;—
2017;676,3;428;487,6;424,2;527,7;359,5;—;199,2;213,3;—
2018;665,8;505,7;439,2;513,7;568,4;428,3;201,5;212,9;197,9;—
2019;711,5;513,1;445,2;604,7;610,6;521,1;—;210,5;216,4;—
2020;580,4;469,7;388;558,6;549,2;445,7;—;212;158;—
2021;582;493;373;548;644;390;—;—;201;—
2022;688,6;568,3;433,5;701,7;731;523;212,3;213,7;301,5;210,9
2023;714;512;514;594;731;549;250;—;—;—
2024;771;505;717;715;838;533;371;—;—;—
2025;793;—;821;836;829;—;—;—;—;—
