Fecha;Temporada;Club de origen_1;Club comprador_2;Valor pagado;Valor estimado;Deficit;Jugador
12-08-2026;26/27;Kairat Almaty;Chelsea;2400000;3000000;-20;Dastan Satpaev
01-07-2026;26/27;Girona;Wolves;7500000;22000000;-66;Ladislav Krejci
01-07-2026;26/27;Bayern Munich;Southampton;8000000;4000000;100;Daniel Peretz
01-07-2026;26/27;Freiburg;Everton;25000000;16000000;56;Merlin Röhl
01-07-2026;26/27;Leverkusen;Arsenal;52000000;50000000;4;Piero Hincapié
01-07-2026;26/27;Go Ahead Eagles;Stoke City;5500000;2000000;175;Milan Smit
01-07-2026;26/27;Stade Rennais;Liverpool;63600000;55000000;16;Jérémy Jacquet
01-07-2026;26/27;Sporting;Chelsea;50700000;42000000;21;Geovany Quenda
01-07-2026;26/27;LASK;Aston Villa;5500000;6000000;-8;Modou Kéba Cissé
02-02-2026;25/26;Southampton;Wolves;8100000;9000000;-10;Adam Armstrong
02-02-2026;25/26;Wolves;Crystal Palace;49700000;40000000;24;Jørgen Strand Larsen
02-02-2026;25/26;RSC Anderlecht;Sunderland;17340000;7000000;148;Nilson Angulo
01-02-2026;25/26;Malmö;Sunderland;3450000;500000;590;Melker Ellborg
30-01-2026;25/26;Man City;Fulham;31200000;25000000;25;Oscar Bobb
28-01-2026;25/26;Fulham;West Ham;2300000;8000000;-71;Adama Traoré
27-01-2026;25/26;Besiktas;Aston Villa;21000000;14000000;50;Tammy Abraham
19-01-2026;25/26;Crystal Palace;Man City;23000000;55000000;-58;Marc Guéhi
16-01-2026;25/26;Maccabi Netanya;Sunderland;4000000;375000;967;Jocelin Ta Bi
15-01-2026;25/26;Bodø/Glimt;Blackburn;4000000;2500000;60;Mathias Jørgensen
09-01-2026;25/26;Bournemouth;Man City;72000000;65000000;11;Antoine Semenyo
05-01-2026;25/26;Lazio;West Ham;29000000;25000000;16;Taty Castellanos
02-01-2026;25/26;Tottenham;Crystal Palace;40000000;35000000;14;Brennan Johnson
02-01-2026;25/26;Gil Vicente;West Ham;23000000;5000000;360;Pablo
01-01-2026;25/26;Grêmio;Aston Villa;10000000;8000000;25;Alysson
01-09-2025;25/26;Ajax;Sunderland;2900000;8000000;-64;Bertrand Traoré
01-09-2025;25/26;PSG;Man City;30000000;40000000;-25;Gianluigi Donnarumma
01-09-2025;25/26;Newcastle;Liverpool;145000000;120000000;21;Alexander Isak
01-09-2025;25/26;Brentford;Newcastle;57700000;32000000;80;Yoane Wissa
01-09-2025;25/26;Ajax;Sunderland;20000000;22000000;-9;Brian Brobbey
01-09-2025;25/26;Slo. Bratislava;Middlesbrough;7500000;8000000;-6;David Strelec
01-09-2025;25/26;Royal Antwerp;Man Utd;21000000;9000000;133;Senne Lammens
01-09-2025;25/26;Genk;Wolves;26000000;18000000;44;Tolu Arokodare
01-09-2025;25/26;Heidenheim;Southampton;9000000;3000000;200;Léo Scienza
01-09-2025;25/26;Shakhtar D.;Fulham;40000000;12000000;233;Kevin
01-09-2025;25/26;Toulouse;Crystal Palace;23000000;4000000;475;Jaydee Canvot
31-08-2025;25/26;KAA Gent;Blackburn;2200000;2000000;10;Andri Gudjohnsen
30-08-2025;25/26;Stuttgart;Newcastle;75000000;30000000;150;Nick Woltemade
30-08-2025;25/26;Banik Ostrava;Stoke City;4000000;4000000;0;Tomas Rigo
30-08-2025;25/26;Man Utd;Chelsea;46200000;45000000;3;Alejandro Garnacho
29-08-2025;25/26;Middlesbrough;Southampton;13900000;16000000;-13;Finn Azaz
29-08-2025;25/26;Villarreal;Crystal Palace;30000000;30000000;0;Yéremy Pino
29-08-2025;25/26;Monaco;West Ham;17000000;12000000;42;Soungoutou Magassa
29-08-2025;25/26;Southampton;West Ham;44000000;15000000;193;Mateus Fernandes
28-08-2025;25/26;Bournemouth;West Brom;1150000;6000000;-81;Chris Mepham
25-08-2025;25/26;Legia Warszawa;Blackburn;2100000;3000000;-30;Ryoya Morishita
25-08-2025;25/26;Southampton;Everton;40500000;25000000;62;Tyler Dibling
23-08-2025;25/26;Crystal Palace;Arsenal;69300000;55000000;26;Eberechi Eze
21-08-2025;25/26;Brentford;Southampton;3460000;6000000;-42;Mads Roerslev
19-08-2025;25/26;Hellas Verona;Wolves;12500000;8000000;56;Jackson Tchatchoua
