player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,premium_discount_pct,player_name
1052439,2027-06-30,26/27,209,631,River Plate,Chelsea,$0.00,"$8,000,000.00",-100.00%,Kendry Páez
1043003,2027-01-27,26/27,114,405,Besiktas,Aston Villa,$0.00,"$5,000,000.00",-100.00%,Yasin Özcan
1179146,2026-08-12,26/27,10482,631,Kairat Almaty,Chelsea,"$2,400,000.00","$3,000,000.00",-20.00%,Dastan Satpaev
95810,2026-07-01,26/27,762,543,Newcastle,Wolves,$0.00,"$1,500,000.00",-100.00%,Kieran Trippier
118302,2026-07-01,26/27,7006,5551,Melb. Victory,Newcastle,$0.00,"$450,000.00",-100.00%,Nikolaos Vergos
206040,2026-07-01,26/27,931,543,Fulham,Wolves,$0.00,"$3,000,000.00",-100.00%,Raúl Jiménez
345911,2026-07-01,26/27,12321,543,Girona,Wolves,"$7,500,000.00","$22,000,000.00",-65.91%,Ladislav Krejci
468539,2026-07-01,26/27,27,180,Bayern Munich,Southampton,"$8,000,000.00","$4,000,000.00",100.00%,Daniel Peretz
559328,2026-07-01,26/27,667,631,R. Strasbourg,Chelsea,,"$25,000,000.00",-100.00%,Emmanuel Emegha
608832,2026-07-01,26/27,60,29,Freiburg,Everton,"$25,000,000.00","$16,000,000.00",56.25%,Merlin Röhl
659813,2026-07-01,26/27,15,11,Leverkusen,Arsenal,"$52,000,000.00","$50,000,000.00",4.00%,Piero Hincapié
703772,2026-07-01,26/27,1435,512,Go Ahead Eagles,Stoke City,"$5,500,000.00","$2,000,000.00",175.00%,Milan Smit
931102,2026-07-01,26/27,2553,355,Kilmarnock FC,Bolton,$0.00,"$2,000,000.00",-100.00%,David Watson
1004301,2026-07-01,26/27,273,31,Stade Rennais,Liverpool,"$63,600,000.00","$55,000,000.00",15.64%,Jérémy Jacquet
1138758,2026-07-01,26/27,336,631,Sporting,Chelsea,"$50,700,000.00","$42,000,000.00",20.71%,Geovany Quenda
1282860,2026-07-01,26/27,413,405,LASK,Aston Villa,"$5,500,000.00","$6,000,000.00",-8.33%,Modou Kéba Cissé
75489,2026-06-30,25/26,5,379,AC Milan,West Ham,$0.00,"$3,500,000.00",-100.00%,Niclas Füllkrug
124419,2026-06-30,25/26,368,762,Sevilla FC,Newcastle,$0.00,"$3,000,000.00",-100.00%,Odysseas Vlachodimos
181380,2026-06-30,25/26,826,289,Lens,Sunderland,$0.00,"$2,000,000.00",-100.00%,Arthur Masuaku
181579,2026-06-30,25/26,1132,379,Burnley,West Ham,$0.00,"$5,000,000.00",-100.00%,James Ward-Prowse
195633,2026-06-30,25/26,984,180,West Brom,Southampton,$0.00,"$2,000,000.00",-100.00%,Charlie Taylor
203460,2026-06-30,25/26,29,281,Everton,Man City,$0.00,"$20,000,000.00",-100.00%,Jack Grealish
234509,2026-06-30,25/26,449,985,Trabzonspor,Man Utd,$0.00,"$10,000,000.00",-100.00%,André Onana
234781,2026-06-30,25/26,252,379,Genoa,West Ham,$0.00,"$2,000,000.00",-100.00%,Maxwel Cornet
258923,2026-06-30,25/26,131,985,Barcelona,Man Utd,$0.00,"$40,000,000.00",-100.00%,Marcus Rashford
284730,2026-06-30,25/26,46,281,Inter,Man City,$0.00,"$17,000,000.00",-100.00%,Manuel Akanji
292808,2026-06-30,25/26,162,1003,Monaco,Leicester,$0.00,"$10,000,000.00",-100.00%,Wout Faes
326029,2026-06-30,25/26,12,405,Roma,Aston Villa,$0.00,"$45,000,000.00",-100.00%,Donyell Malen
338070,2026-06-30,25/26,12,31,Roma,Liverpool,$0.00,"$4,500,000.00",-100.00%,Konstantinos Tsimikas
340325,2026-06-30,25/26,1148,11,Brentford,Arsenal,$0.00,"$8,000,000.00",-100.00%,Reiss Nelson
351749,2026-06-30,25/26,350,281,Sheff Utd,Man City,$0.00,"$2,500,000.00",-100.00%,Kalvin Phillips
366729,2026-06-30,25/26,6107,289,Arka Gdynia,Sunderland,$0.00,"$600,000.00",-100.00%,Nazariy Rusyn
369567,2026-06-30,25/26,413,543,LASK,Wolves,$0.00,"$4,000,000.00",-100.00%,Sasa Kalajdzic
381469,2026-06-30,25/26,234,931,Feyenoord,Fulham,$0.00,"$1,000,000.00",-100.00%,Steven Benda
386047,2026-06-30,25/26,379,631,West Ham,Chelsea,$0.00,"$15,000,000.00",-100.00%,Axel Disasi
401173,2026-06-30,25/26,405,985,Aston Villa,Man Utd,$0.00,"$18,000,000.00",-100.00%,Jadon Sancho
401356,2026-06-30,25/26,36,379,Fenerbahçe,West Ham,$0.00,"$15,000,000.00",-100.00%,Edson Álvarez
405385,2026-06-30,25/26,86,180,Werder Bremen,Southampton,$0.00,"$5,500,000.00",-100.00%,Yukinari Sugawara
414908,2026-06-30,25/26,10004,543,Paris FC,Wolves,$0.00,"$15,000,000.00",-100.00%,Marshall Munetsi
425918,2026-06-30,25/26,720,11,Porto,Arsenal,$0.00,"$35,000,000.00",-100.00%,Jakub Kiwior
427568,2026-06-30,25/26,762,180,Newcastle,Southampton,$0.00,"$12,000,000.00",-100.00%,Aaron Ramsdale
444211,2026-06-30,25/26,1028,180,Millwall,Southampton,$0.00,"$3,500,000.00",-100.00%,Will Smallbone
486604,2026-06-30,25/26,610,31,Ajax,Liverpool,$0.00,"$5,000,000.00",-100.00%,Vitezslav Jaros
493513,2026-06-30,25/26,86,11,Werder Bremen,Arsenal,$0.00,"$3,000,000.00",-100.00%,Karl Hein
500689,2026-06-30,25/26,873,405,Crystal Palace,Aston Villa,$0.00,"$25,000,000.00",-100.00%,Evann Guessand
537598,2026-06-30,25/26,41,11,Hamburg,Arsenal,$0.00,"$18,000,000.00",-100.00%,Fábio Vieira
538998,2026-06-30,25/26,738,289,Le Havre AC,Sunderland,$0.00,"$1,800,000.00",-100.00%,Timothée Pembélé
555074,2026-06-30,25/26,9644,405,Raków,Aston Villa,$0.00,"$2,000,000.00",-100.00%,Oliwier Zych
565822,2026-06-30,25/26,405,31,Aston Villa,Liverpool,$0.00,"$20,000,000.00",-100.00%,Harvey Elliott
576121,2026-06-30,25/26,7154,281,Radomiak,Man City,$0.00,"$2,500,000.00",-100.00%,Josh Wilson-Esbrand
581672,2026-06-30,25/26,4172,405,Pisa,Aston Villa,$0.00,"$6,500,000.00",-100.00%,Samuel Iling-Junior
591844,2026-06-30,25/26,1211,405,Port Vale,Aston Villa,$0.00,"$1,200,000.00",-100.00%,Joe Gauci
592975,2026-06-30,25/26,6574,1003,Sassuolo,Leicester,$0.00,"$2,000,000.00",-100.00%,Woyo Coulibaly
610442,2026-06-30,25/26,6195,985,Napoli,Man Utd,$0.00,"$60,000,000.00",-100.00%,Rasmus Højlund
617755,2026-06-30,25/26,82,289,Wolfsburg,Sunderland,$0.00,"$5,000,000.00",-100.00%,Jenson Seelt
627248,2026-06-30,25/26,466,405,Preston,Aston Villa,$0.00,"$7,000,000.00",-100.00%,Lewis Dobbin
646738,2026-06-30,25/26,142,180,Real Zaragoza,Southampton,$0.00,"$2,000,000.00",-100.00%,Juan Larios
649020,2026-06-30,25/26,347,543,FC Metz,Wolves,$0.00,"$4,000,000.00",-100.00%,Boubacar Traoré
649452,2026-06-30,25/26,1112,281,Wrexham,Man City,$0.00,"$4,000,000.00",-100.00%,Issa Kaboré
654253,2026-06-30,25/26,3008,985,Hull City,Man Utd,$0.00,"$5,000,000.00",-100.00%,Toby Collyer
654982,2026-06-30,25/26,79,1003,Stuttgart,Leicester,$0.00,"$35,000,000.00",-100.00%,Bilal El Khannouss
658536,2026-06-30,25/26,162,289,Monaco,Sunderland,$0.00,"$22,000,000.00",-100.00%,Simon Adingra
671915,2026-06-30,25/26,294,405,Benfica,Aston Villa,$0.00,"$12,000,000.00",-100.00%,Enzo Barrenechea
743597,2026-06-30,25/26,978,873,Vasco da Gama,Crystal Palace,$0.00,"$6,000,000.00",-100.00%,Matheus França
776890,2026-06-30,25/26,27,631,Bayern Munich,Chelsea,$0.00,"$40,000,000.00",-100.00%,Nicolas Jackson
787232,2026-06-30,25/26,667,631,R. Strasbourg,Chelsea,$0.00,"$4,000,000.00",-100.00%,David Datro Fofana
814848,2026-06-30,25/26,349,873,Barnsley,Crystal Palace,$0.00,"$550,000.00",-100.00%,Owen Goodman
820241,2026-06-30,25/26,41,180,Hamburg,Southampton,$0.00,"$4,000,000.00",-100.00%,Damion Downs
834397,2026-06-30,25/26,667,631,R. Strasbourg,Chelsea,$0.00,"$25,000,000.00",-100.00%,Mike Penders
840687,2026-06-30,25/26,979,289,Moreirense,Sunderland,$0.00,"$600,000.00",-100.00%,Luís Semedo
845321,2026-06-30,25/26,1150,379,Leyton Orient,West Ham,$0.00,"$1,000,000.00",-100.00%,Kaelan Casey
848682,2026-06-30,25/26,23826,405,Leipzig,Aston Villa,$0.00,"$6,000,000.00",-100.00%,Kosta Nedeljkovic
888639,2026-06-30,25/26,1027,985,Bradford,Man Utd,$0.00,"$250,000.00",-100.00%,Ethan Wheatley
890719,2026-06-30,25/26,244,11,Marseille,Arsenal,$0.00,"$35,000,000.00",-100.00%,Ethan Nwaneri
936874,2026-06-30,25/26,29,631,Everton,Chelsea,$0.00,"$20,000,000.00",-100.00%,Tyrique George
953135,2026-06-30,25/26,80,379,VfL Bochum,West Ham,$0.00,"$2,000,000.00",-100.00%,Callum Marshall
994536,2026-06-30,25/26,12321,281,Girona,Man City,$0.00,"$15,000,000.00",-100.00%,Claudio Echeverri
1005575,2026-06-30,25/26,12321,281,Girona,Man City,$0.00,"$30,000,000.00",-100.00%,Vitor Reis
1011738,2026-06-30,25/26,1123,985,Norwich,Man Utd,$0.00,"$5,000,000.00",-100.00%,Harry Amass
1064471,2026-06-30,25/26,940,543,Celta de Vigo,Wolves,$0.00,"$16,000,000.00",-100.00%,Fer López
1121298,2026-06-30,25/26,417,281,Nice,Man City,$0.00,"$10,000,000.00",-100.00%,Juma Bah
1145504,2026-06-30,25/26,667,631,R. Strasbourg,Chelsea,$0.00,"$10,000,000.00",-100.00%,Aarón Anselmino
